class,type,name,showif,block_order,item_order,value,label,optional,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9
,note,instruction_heading,,,,,# Piloto: Encuesta sobre creencias y expectativas de docentes en la educación básica,,,,,,,,,,
,note,instruction_entrevistador,,,,,"## Consentimiento informado

El propósito del presente documento es invitarlo a participar en el estudio titulado “La relación entre las habilidades matemáticas de niños y niñas migrantes y los estereotipos de docentes en educación básica”, cuya investigadora principal es María Constanza Ayala Reyes, patrocinada por FONDECYT de Postdoctorado 2024 – Agencia Nacional de Investigación y Desarrollo (ANID). Para que usted pueda tomar una decisión informada, le explicaremos  cuáles serán los procedimientos involucrados en la ejecución de la investigación, así como en qué consistiría su colaboración:

**1. Dónde y cuándo se llevará a cabo la investigación**

La investigación mencionada se realizará en la Universidad de Valparaíso  durante los años 2024 a 2027.

**2. Relevancia del estudio y beneficios**
Esta investigación es relevante en cuanto busca contribuir a la generación de nuevas políticas educacionales que permitan a los/as profesores tener mayores recursos para tratar con estudiantes provenientes de diversos contextos y generar debates y programas sociales concretos que podrían ayudar a la población migrante a mejorar su calidad de vida, especialmente a los/as niños y jóvenes.

Además, se les ofrecerán cápsulas que permitan vincular los resultados de este estudio con sus prácticas pedagógicas con un enfoque intercultural.

Por último, usted podrá participar en un sorteo de libros de manera voluntaria. Para esto, al finalizar la encuesta, se les pedirá su correo electrónico.

**3. Objetivos**

El propósito de este estudio es profundizar en las habilidades matemáticas de niños y niñas migrantes y su relación con las actitudes hacia la migración en docentes de primero a tercero básico.

**4. En qué consiste su participación**

Si acepta participar, se le pedirá que responda una encuesta online que consistirá en conocer su opinión sobre diversos temas relacionados con su quehacer docente en relación con la población migrante. También se le pedirá información sobre usted y su hogar, como su edad, sexo y experiencia educativa, entre otros. En total, se estima que cada encuesta tomará un máximo de 30 minutos.

Usted NO está obligado de ninguna manera a participar en este estudio. Si accede a participar, puede dejar de hacerlo en cualquier momento sin repercusión negativa alguna para usted.

**5.        Riesgos**

No se anticipa ningún riesgo por participar en esta investigación.

**6.        Costos y pagos**

No se contemplan costos y pagos por su participación en el estudio.

**7.        Derechos del participante**

Si tiene cualquier pregunta acerca de esta investigación, puede contactar a María Constanza Ayala, profesora adjunta de la Escuela de Sociología de la Universidad de Valparaíso. Su teléfono es 32-2507426 y su email es maria.ayala@uv.cl.

Usted NO está obligado de ninguna manera a participar en este estudio. Si accede a participar, puede dejar de hacerlo en cualquier momento sin repercusión negativa alguna para usted.

**8. Reserva de la identidad del participante**

A cada participante se le asignará un identificador aleatorio en formato de número para ordenar la información en una base de datos, pero todos los análisis se realizarán de manera agregada.

**9.        Confidencialidad de los datos**

La información recolectada será guardada en el computador personal de la investigadora responsable en una base de datos. Este computador está resguardado con una contraseña.

**10. Utilización y Publicación de los hallazgos**

Los datos que usted entregue serán utilizados en el proyecto de la investigadora responsable. Sus respuestas serán analizadas de manera agregada para publicaciones científicas y congresos.

Los datos sin identificador pueden compartirse con la comunidad científica para avanzar en el conocimiento disponible. Eliminaremos o codificaremos cualquier información personal que pueda identificarlo antes de que los archivos se compartan con otros investigadores para garantizar que, según los estándares científicos actuales, nadie pueda identificarlo a partir de la información que compartimos.

**11. Evaluación Comité Bioética y contacto **

Esta investigación ha sido evaluada y aceptada por el Comité  Institucional  de Bioética de Investigación  en Seres Humanos de la Universidad de Valparaíso. Si usted lo requiriera, puede contactar a alguno de sus integrantes a través del mail institucional cec.uv@uv.cl.

Datos de contacto:

Si requiere más información o comunicarse por cualquier motivo relacionado con esta investigación, puede contactar la Investigadora Responsable de este estudio:

**María Constanza Ayala Reyes:**

**Teléfonos:** 32-2507426

**Dirección:** Subida el Litre 1028, Valparaíso.

**Correo Electrónico:** maria.ayala@uv.cl  ",,,,,,,,,,
mc_vertical answer_below_label,mc,start_01,,,,,"### Declaración de consentimiento informado

Al aceptar participar usted declara que lo hace de forma informada, es decir, que ha leído y comprendido las condiciones de su participación en este estudio en los términos antes señalados, y ha tenido la oportunidad de hacer preguntas y que estas han sido respondidas adecuadamente, sin que le queden dudas al respecto. 

Si acepta participar en este estudio, por favor marque la celda que indica que acepta participar voluntariamente.",,"Sí, acepto voluntariamente participar en este estudio.",No acepto participar en este estudio.,,,,,,,
,block,start_no,start_01 == 2,,,,"Si no acepta participar del estudio, no podrá continuar",,,,,,,,,,
,submit,inicio_00,,,,,Iniciar,,,,,,,,,,
,note,mod02,,,,,## Preguntas de identificación,,,,,,,,,,
,note,instruction,,,,,"¡Muchas gracias! 

A continuación, le haremos algunas preguntas sobre usted y el establecimiento educacional en donde trabaja. Si enseña en más de un establecimiento, considere en donde realiza la mayor cantidad de horas.",,,,,,,,,,
mc_vertical answer_below_label,mc_multiple curso,curso,,,,,¿En cuál de los siguientes niveles enseña usted? Marque todas las opciones que correspondan. ,,,,,,,,,,
mc_vertical answer_below_label,select_one region,region,,,,,¿En qué región se ubica el establecimiento educacional?,,,,,,,,,,
mc_vertical answer_below_label,select_one comuna_v,comuna_colegio_v,region==6,,,,¿En qué comuna se encuentra este colegio?,,,,,,,,,,
mc_vertical answer_below_label,select_one comuna_rm,comuna_colegio_rm,region==7,,,,¿En qué comuna se encuentra este colegio?,,,,,,,,,,
mc_vertical answer_below_label,select_one region,region_persona,,,,,¿En qué región vive usted?,,,,,,,,,,
mc_vertical answer_below_label,mc gen_list,genero,,,,,¿Con qué género se identifica?,,,,,,,,,,
mc_vertical answer_below_label,text,genero_esp,genero==6,,,,Especifique,,,,,,,,,,
mc_vertical answer_below_label,mc sex_list,sexo,,,,,¿Cuál es su sexo?,,,,,,,,,,
mc_vertical answer_below_label,text,sexo_esp,sexo==3,,,,Especifique,,,,,,,,,,
mc_vertical answer_below_label,number,edad,,,,,¿Cuál es su edad en años?,,,,,,,,,,
mc_vertical answer_below_label,mc e_civil,e_civil,,,,,¿Cuál es su estado civil o conyugal actual?,,,,,,,,,,
mc_vertical answer_below_label,text,e_civil_esp,e_civil==8,,,,Especifique,,,,,,,,,,
,submit,inicio_01,,,,,continuar,,,,,,,,,,
,note,mod03,,,,,## Viñetas,,,,,,,,,,
,note,head_exp,,,,,En esta sección se presentarán seis perfiles breves de estudiantes. Cada perfil debe leerse de forma independiente y será seguido de preguntas específicas.,,,,,,,,,,
,"random 1,2",ran_group,,,,,,,,,,,,,,,
,submit,inicio_001,,,,,continuar,,,,,,,,,,
,note,est_a1a,ran_group == 1,A,1,,"**Lucas** es **un niño Chileno** y forma parte de tu curso. En clases, **él** suele quedarse mirando por la ventana durante largos períodos. Aunque participa levantando la mano, con frecuencia olvida la respuesta cuando se le da la palabra. Es probable que repruebe la asignatura de matemáticas. A **él** le cuesta concentrarse e interrumpe con frecuencia el desarrollo de la clase. **Lucas** realiza sus tareas de manera descuidada y con frecuencia no las entrega. Además, presenta dificultades para integrarse en la comunidad escolar. Su desempeño en lenguaje es uno de los más bajos de su curso.",,,,,,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas1_a1a,ran_group == 1,A,2,,¿De qué nacionalidad es este estudiante?,,Chilena,Haitiana,Sur-coreana,Otra,,,,,
mc_vertical answer_below_label,mc,atencion_vinetas2_a1a,ran_group == 1,A,3,,¿Cuál es el sexo de este estudiante?,,Mujer,Hombre,,,,,,,
,note,note_a1a,ran_group == 1,A,4,,"Considerando a este estudiante, indique su nivel de acuerdo con las siguientes afirmaciones",,,,,,,,,,
space_bottom_15 mc_width100,mc_heading likert,choice_list1lucas,ran_group == 1,A,5,,,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a1a,ran_group == 1,A,6,,Creo que Lucas obtendrá muy buenas notas en la escuela este año.,,,,,,,,,,
hide_label mc_width100 space_bottom_15,mc likert,out_a2a,ran_group == 1,A,6,,Creo que Lucas es inteligente.,,,,,,,,,,
